"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1427","Test Case 10: Verify Subscription in home page","ui-chromium","Thu Mar 12 02:06:15 UTC 2026","passed","Thu Mar 12 02:06:16 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","11549","Test Case 1: Register User","ui-chromium","Thu Mar 12 02:05:04 UTC 2026","passed","Thu Mar 12 02:05:16 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","84","API 2: POST To All Products List","api","Thu Mar 12 02:05:00 UTC 2026","passed","Thu Mar 12 02:05:00 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","3846","Test Case 21: Add review on product","ui-chromium","Thu Mar 12 02:06:25 UTC 2026","passed","Thu Mar 12 02:06:29 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","12049","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Thu Mar 12 02:06:22 UTC 2026","passed","Thu Mar 12 02:06:34 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","109","API 11: POST To Create User Account","api","Thu Mar 12 02:05:00 UTC 2026","passed","Thu Mar 12 02:05:01 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","6258","Test Case 4: Logout User","ui-chromium","Thu Mar 12 02:05:15 UTC 2026","passed","Thu Mar 12 02:05:21 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3691","Test Case 18: View Category Products","ui-chromium","Thu Mar 12 02:06:18 UTC 2026","passed","Thu Mar 12 02:06:22 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","94","API 4: PUT To All Brands List","api","Thu Mar 12 02:05:00 UTC 2026","passed","Thu Mar 12 02:05:00 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","2242","API 13: PUT To Update User Account","api","Thu Mar 12 02:05:01 UTC 2026","passed","Thu Mar 12 02:05:03 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
